ClusterId	Transcript	Chromosome	Start	End	Info
1	ENST00000534358	chr11	118478078	118480195	ZF_CXXC
1	ENST00000534358	chr11	118484946	118488738	ZF_PHD_2
1	ENST00000534358	chr11	118488729	118490165	ZF_PHD_2
1	ENST00000534358	chr11	118491211	118491829	ZF_PHD_2
1	ENST00000534358	chr11	118493186	118494379	BROMODOMAIN_2
1	ENST00000534358	chr11	118496342	118499307	EPHD
1	ENST00000534358	chr11	118499842	118501084	FYRN
1	ENST00000534358	chr11	118510084	118519753	FYRC
1	ENST00000534358	chr11	118521305	118522133	SET
1	ENST00000534358	chr11	118522157	118522205	POST_SET
1	ENST00000534358	chr11	118436492	118436512	5-Prime UTR
1	ENST00000534358	chr11	118522173	118526832	3-Prime UTR
1	ENST00000380338	chr9	20448125	20622253	YEATS
1	ENST00000380338	chr9	20622257	20622499	5-Prime UTR
1	ENST00000380338	chr9	20341669	20346442	3-Prime UTR
